,urunKod,urunAdı,listeFiyatı,kdvOran,marka,kategori,menşei,created_id
0,1,*MİGROS AYÇİÇEK YAĞI 1 L ,6.4,0.08,migros,Sıvı Yağ,Türkiye,2020-01-01
1,2,*MİGROS AYÇİÇEK YAĞI 2 L ,11.95,0.08,migros,Sıvı Yağ,Türkiye,2020-01-01
2,3,*MİGROS AYÇİÇEK YAĞI 5 L KÖŞELİ PET ŞİŞE ,24.95,0.08,migros,Sıvı Yağ,Türkiye,2020-01-01
3,4,*MİGROS AYÇİÇEK YAĞI 5 L PET ŞİŞE ,25.95,0.08,migros,Sıvı Yağ,Türkiye,2020-01-01
4,5,*MİGROS AYÇİÇEK YAĞI 5 L TENEKE ,25.95,0.08,migros,Sıvı Yağ,Türkiye,2020-01-01
5,6,KIRLANGIÇ AYÇİÇEK YAĞI 1 L ,8.5,0.08,kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
6,7,KIRLANGIÇ AYÇİÇEK YAĞI 2 L ,16.5,0.08,kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
7,8,KIRLANGIÇ AYÇİÇEK YAĞI 5 L TENEKE ,32.5,0.08,kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
8,9,KOMİLİ AYÇİÇEK YAĞI 1 L ,8.9,0.08,komili,Sıvı Yağ,Türkiye,2020-01-01
9,10,KOMİLİ AYÇİÇEK YAĞI 2 L ,16.9,0.08,komili,Sıvı Yağ,Türkiye,2020-01-01
10,11,KOMİLİ AYÇİÇEK YAĞI 5 L TENEKE ,32.9,0.08,komili,Sıvı Yağ,Türkiye,2020-01-01
11,12,SALAT ACI KIRMIZI BİBER FESLEĞEN DOMATES AYÇİÇEK YAĞI 250 ML ,4.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
12,13,SALAT AYÇİÇEK YAĞI 1 L ,7.5,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
13,14,SALAT AYÇİÇEK YAĞI 2 L ,13.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
14,15,SALAT AYÇİÇEK YAĞI 5 L KÖŞELİ PET ŞİŞE ,27.75,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
15,16,SALAT AYÇİÇEK YAĞI 5 L TENEKE ,28.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
16,17,SALAT DOMATES SARIMSAK FESLEĞENLİ AYÇİÇEK YAĞI 250 ML ,4.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
17,18,SALAT SARIMSAK VE FESLEĞENLİ AYÇİÇEK YAĞI 250 ML ,4.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
18,19,SALAT SARIMSAKLI AYÇİÇEK YAĞI 250 ML ,4.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
19,20,SALAT YENİ HASAT AYÇİÇEK YAĞI 2 L PET ŞİŞE ,14.95,0.08,salat,Sıvı Yağ,Türkiye,2020-01-01
20,21,TORKU AYÇİÇEKYAĞI 1 LT ,7.95,0.08,Torku,Sıvı Yağ,Türkiye,2020-01-01
21,22,TORKU AYÇİÇEKYAĞI 2 LT ,14.5,0.08,Torku,Sıvı Yağ,Türkiye,2020-01-01
22,23,TORKU AYÇİÇEKYAĞI 5 LT ,28.95,0.08,Torku,Sıvı Yağ,Türkiye,2020-01-01
23,24,YUDUM AYÇİÇEK YAĞI 1 L ,8.9,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
24,25,YUDUM AYÇİÇEK YAĞI 2 L ,16.9,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
25,26,YUDUM AYÇİÇEK YAĞI 4 L TENEKE ,26.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
26,27,YUDUM AYÇİÇEK YAĞI 5 L PET ŞİŞE ,30.9,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
27,28,YUDUM AYÇİÇEK YAĞI 5 L TENEKE ,28.9,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
28,29,FILIPPO BERIO NATÜREL SIZMA ZEYTİNYAĞI 500 ML ,29.95,0.08,Filippo,Sıvı Yağ,Fransa,2020-01-01
29,30,FRANTOIA SIZMA ZEYTİNYAĞI 500 ML ,38.5,0.08,Frantoia,Sıvı Yağ,Fransa,2020-01-01
30,31,GAEA GİRİT KRITSA SIZMA ZEYTİNYAĞI 500 ML ,46.5,0.08,Gaea,Sıvı Yağ,Fransa,2020-01-01
31,32,İLHAN SARI ORGANİK SIZMA ZEYTİNYAĞI OLGUN HASAT 500 ML ,19.95,0.08,İlhan Sarı,Sıvı Yağ,Türkiye,2020-01-01
32,33,KIRLANGIÇ  RİVİERA ZEYTİNYAĞI 1/2 LİTRE ,15.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
33,34,KIRLANGIÇ 0.5 ASİT NATÜREL SIZMA ZEYTİNYAĞI 500 ML ,33.5,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
34,35,KIRLANGIÇ RİVİERA ZEYTİNYAĞI 1 L ,27.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
35,36,KIRLANGIÇ RİVİERA ZEYTİNYAĞI 2 L ,52.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
36,37,KIRLANGIÇ RİVİERA ZEYTİNYAĞI 5 L TENEKE ,79.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
37,38,KIRLANGIÇ SIZMA ZEYTİNYAĞI 1 L ,31.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
38,39,KIRLANGIÇ SIZMA ZEYTİNYAĞI 2 L ,38.9,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
39,40,KIRLANGIÇ SIZMA ZEYTİNYAĞI 5 L TENEKE ,117.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
40,41,KIRLANGIÇ SIZMA ZEYTİNYAĞI 500 ML. ,17.5,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
41,42,"KIRLANGIÇ ÇÖKELTME FİLTRESİZ SIZMA ZEYTİNYAĞI 1,5 L ",76.95,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
42,43,KIRLANGIÇ ÇÖKELTME NATÜREL SIZMA ZEYTİNYAĞI 500 ML ,33.5,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
43,44,KIRLANGIÇ ÇİĞ YAĞ NATÜREL ZEYTİNYAĞI 500 ML ,33.5,0.08,Kırlangıç,Sıvı Yağ,Türkiye,2020-01-01
44,45,KOMILI EGE NATUREL SıZMA ZEYTİNYAĞI 500 ML (PET ŞİŞE) ,16.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
45,46,KOMILI HALIS EGE SIZMA ZEYTINYAĞI 1000 ML. ,32.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
46,47,KOMILI RIVIERA ZEYTİNYAĞI 4 L ,94.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
47,48,KOMILI SIZMA ZEYTINYAĞI 500 ML  (PET ŞİŞE) ,19.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
48,49,KOMİLİ AKDENİZ LEZZETLERİ NATUREL SIZMA ZEYTİNYAĞI 2 L ,57.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
49,50,KOMİLİ EGE SIZMA ZEYTINYAĞI 3 L ,83.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
